feature_id,section_id,center_lon,center_lat,utm_epsg,target_year_now,target_year_past,now_dataset,now_year_used,now_images_in_year,now_distance_m,now_tree_lon,now_tree_lat,now_line_lon,now_line_lat,now_ntrees,past_dataset,past_year_used,past_images_in_year,past_distance_m,past_tree_lon,past_tree_lat,past_line_lon,past_line_lat,past_ntrees,delta_distance_m
52111,52,-81.08675284702316,33.938038730563086,EPSG:32617,2026,2025,NAIP,2023,2,1.8025868947002042,-81.08672498499448,33.938069701199254,-81.08674406195209,33.938073089872184,16,NAIP,2021,2,1.8857134173685748,-81.08688902961428,33.93758772184448,-81.08686907302773,33.93758417692544,24,0.08312652266837062
52112,29,-81.127902382926,34.019239453587346,EPSG:32617,2026,2025,NAIP,2023,1,8.527207686848277,-81.12762834711639,34.01875633653434,-81.12762857594001,34.01883324213784,5,NAIP,2021,1,3.1906670942771127,-81.12762175472676,34.01880480421591,-81.12762701320248,34.01883324536184,12,-5.336540592571164
52116,15,-81.14597963562167,34.02727602192405,EPSG:32617,2026,2025,NAIP,2023,1,12.18445235715037,-81.14566025784382,34.02723997270946,-81.14572999142153,34.02714667356285,47,NAIP,2021,1,3.1067833769318756,-81.14652405862286,34.027540669320956,-81.14649040564356,34.027540669316345,43,-9.077668980218494
52123,48,-81.2161825586717,34.05512258330942,EPSG:32617,2026,2025,NAIP,2023,1,53.362965449577636,-81.2155960920648,34.05476265112742,-81.21591238796039,34.05516553168253,1,NAIP,2021,1,30.84084878096648,-81.21571383456342,34.05494125613803,-81.21589663647515,34.0551740987821,6,-22.522116668611158
52144,45,-81.08579981928936,33.97013997699479,EPSG:32617,2026,2025,NAIP,2023,1,22.391339092772874,-81.08614709132,33.97058857455465,-81.08590883774482,33.970625696136004,26,NAIP,2021,1,22.465313991569033,-81.08595198180994,33.96971566655059,-81.08571294346497,33.9697529103935,35,0.07397489879615904
52145,10,-81.08531128178079,33.94226424093333,EPSG:32617,2026,2025,NAIP,2023,1,33.50337523487387,-81.08495552647818,33.942205421958136,-81.08530906652591,33.94227236781245,25,NAIP,2021,1,22.89819791142265,-81.08502266070856,33.94239086527981,-81.08526429149,33.942436620031565,32,-10.605177323451223
52146,4,-81.08386916173414,33.961690448587134,EPSG:32617,2026,2025,NAIP,2023,1,4.841486662546551,-81.08401663734253,33.962121380020406,-81.08396508242316,33.96212920558706,33,NAIP,2021,1,5.403866271341824,-81.08401668714181,33.96209330655118,-81.08395914370097,33.96210204112221,34,0.5623796087952737
52431,0,-81.00328761576671,34.031978176976146,EPSG:32617,2026,2025,NAIP,2023,1,3.515158234236469,-81.0032494292394,34.032067652262846,-81.00321986389056,34.03204767301827,52,NAIP,2021,1,2.869230172104151,-81.00295441576456,34.03203281360746,-81.00294639224497,34.03205781375554,52,-0.645928062132318
52432,6,-81.00257806227528,34.03248983427085,EPSG:32617,2026,2025,NAIP,2023,2,9.493971905417743,-81.00261290769149,34.03265180105344,-81.00251702374678,34.03262083304153,42,NAIP,2021,2,0.8510489092575506,-81.00245762817447,34.03272708160351,-81.0024662233108,34.032729857613475,58,-8.642922996160191
52433,1,-81.01181897795655,34.03530258256712,EPSG:32617,2026,2025,NAIP,2023,1,1.633347427889536,-81.01164444834586,34.03491629670007,-81.01166122143627,34.034911605891985,46,NAIP,2021,1,0.8644154475078778,-81.01166444991665,34.034944089874976,-81.01167332673144,34.03494160736037,61,-0.7689319803816581
52434,10,-81.0119152961938,34.03626897159918,EPSG:32617,2026,2025,NAIP,2023,1,2.6050091411052914,-81.01196921282839,34.03583954677155,-81.0119970792118,34.03584325711774,9,NAIP,2021,1,0.4748622381931258,-81.01185587320302,34.036551174248075,-81.01186095295522,34.03655185060521,14,-2.1301469029121654
52446,0,-81.02729149965734,34.015612000076395,EPSG:32617,2026,2025,NAIP,2023,1,13.363479641632434,-81.02748112652603,34.015517794335,-81.02737099966168,34.0155960001054,25,NAIP,2021,1,12.137679858161402,-81.02743976325755,34.01550270210694,-81.02737099966168,34.0155960001054,26,-1.2257997834710324
52448,15,-81.03031986404211,34.041820632863214,EPSG:32617,2026,2025,NAIP,2023,1,5.4818221888674845,-81.03021934132046,34.041840522437006,-81.03026379041779,34.04187331154181,29,NAIP,2021,1,1.6829667202716476,-81.03048913973979,34.04168449751933,-81.03047549348334,34.041674431007614,54,-3.798855468595837
52449,1,-81.02550594260508,34.00217029754783,EPSG:32617,2026,2025,NAIP,2023,2,0.5932709292389349,-81.02591749889001,34.00203437713608,-81.02591978015437,34.00203937910513,38,NAIP,2021,2,0.39175379442244523,-81.02592493090184,34.00204152913229,-81.02592342451734,34.00203822618887,47,-0.20151713481648964
52450,6,-81.02929842227482,34.024189339709096,EPSG:32617,2026,2025,NAIP,2023,1,0.4617997866114074,-81.02916504273287,34.024067063022265,-81.02916882915875,34.02406434146839,17,NAIP,2021,1,2.6165785427294193,-81.02884333462195,34.02391431108401,-81.02885022112802,34.02393720248483,34,2.154778756118012
52451,6,-81.0270103114908,34.015157518553636,EPSG:32617,2026,2025,NAIP,2023,1,8.05580863687855,-81.0268261868852,34.01494411359661,-81.02690835690726,34.01491968742759,25,NAIP,2021,1,6.081216122694909,-81.02715149131504,34.015323716998985,-81.02708946208958,34.01534215609547,24,-1.9745925141836418
52498,2,-81.02617930001679,34.005548861678804,EPSG:32617,2026,2025,NAIP,2023,1,4.824683796359975,-81.02621216480786,34.00569521272291,-81.02625847318731,34.00567506248908,30,NAIP,2021,1,4.531419737385103,-81.02610092407639,34.00527981012474,-81.02605493764936,34.00529407352232,32,-0.29326405897487184
52500,10,-81.02575475210782,33.98752422864552,EPSG:32617,2026,2025,NAIP,2023,1,5.376438329384477,-81.02595374131151,33.987829547248516,-81.02589920747899,33.98784650847059,27,NAIP,2021,1,0.8926819002151883,-81.02585437661145,33.987723474382456,-81.02584532204571,33.98772629054903,38,-4.483756429169289
52501,8,-81.0155902265056,34.0007274482332,EPSG:32617,2026,2025,NAIP,2023,2,7.196354658116405,-81.01520602659106,34.00088792355251,-81.01513964370247,34.00085392867266,22,NAIP,2021,2,0.23417774053006693,-81.01513290883629,34.000867083707845,-81.01513074866062,34.000865977474255,37,-6.962176917586338
52502,14,-81.00677939503804,34.008704027217924,EPSG:32617,2026,2025,NAIP,2023,1,0.5205293506030896,-81.00697737041185,34.009156917948815,-81.00697205475042,34.00915848084286,32,NAIP,2021,1,1.0573890665347134,-81.00675982302637,34.008629214326504,-81.00674902499583,34.00863238912761,47,0.5368597159316238
52503,1,-81.03089854828002,34.02573854659494,EPSG:32617,2026,2025,NAIP,2023,1,8.936571737239229,-81.03124791227506,34.02595350737747,-81.03117448178054,34.026006023567724,19,NAIP,2021,1,0.379011485454556,-81.03057072473227,34.02542601620082,-81.0305738390103,34.025423788937715,24,-8.557560251784672
52504,1,-81.03008642903782,34.02777363490766,EPSG:32617,2026,2025,NAIP,2023,1,0.1333375620218041,-81.03003770351961,34.02761502316771,-81.03003914784317,34.02761502670278,16,NAIP,2021,1,8.682347397367636,-81.02994503615743,34.027632854560686,-81.03003908408638,34.027633084783936,22,8.549009835345831
52505,14,-81.0318548743616,34.02594460487577,EPSG:32617,2026,2025,NAIP,2023,1,5.652914506465528,-81.03150279975304,34.0261070166995,-81.03148161912306,34.026059180991,20,NAIP,2021,1,6.730438218455316,-81.0314767699929,34.02612536419405,-81.03145155205647,34.02606841033207,30,1.0775237119897882
52506,8,-81.04812675895134,34.00035549988899,EPSG:32617,2026,2025,NAIP,2023,2,17.310361925007513,-81.04842213236685,34.00041150818958,-81.04834172496885,34.000270480533615,3,NAIP,2021,2,3.3279322647577905,-81.04777535158838,34.000405654101414,-81.0477980002147,34.00042900001149,6,-13.982429660249721
